content,content_stem,target
"On top of how good the food is, their customer service is excellent. I went to eat there on Thursday (the 16th), and had the best server ever. He was the bartender as well, and still payed tons of attention to my table. He was very nice, and very helpful. He had extensive knowledge of the menu. He was also very personable. He laid out samples of their various barbeque sauces while giving some details about each one. He squirted them out onto an extra plate he brought to the table, and he made the shape of a smiley face with all the sauces. He made that dining experience so good that I wish I could write a review about him personally and suggest to his managers that he get a raise! I couldn't hear him when he stated his name over a large group that had just come in and was moving tables, but he was wonderful.
  Also, one of the people with me is from the east coast, and likes vinegar-based barbeque sauce. They didn't have any of that kind in their current rotation of sauces, and he actually went back to the kitchen and explained the situation. A lady from the kitchen made a vinegar-based barbeque sauce from scratch just because one of us had mentioned how much we loved it.
   I've never experienced service like that, and really can't say enough about how great this guy, and all other staff I came into contact with, was! Great job to whoever hired him.
  The food was delicious, I love their fries! Unlike anything you can get anywhere else. I got the country roasted chicken- great seasoning, super moist and tender, while still having that chargrilled/roasted skin (my favorite). All of their sauces are so good; it's hard to choose just one! (And no matter how many times I go there, I always sample each one again).
  All positive things to say about this Famous Daves!
Oh- and I forgot to mention the corn muffins...beyond words! Seriously, you have to try them. Now I'm craving one, and I'm pretty sure they're not open at 3:00 a.m. I wish I could order them by the dozen haha",top good food custom servic excel went eat thursday th best server ever bartend well still pay ton attent tabl nice help extens knowledg menu also person laid sampl variou barbequ sauc give detail squirt onto extra plate brought tabl made shape smiley face sauc made dine experi good wish could write review person suggest manag get rais hear state name larg group come move tabl wonder also peopl east coast like vinegar base barbequ sauc kind current rotat sauc actual went back kitchen explain situat ladi kitchen made vinegar base barbequ sauc scratch us mention much love never experienc servic like realli say enough great guy staff came contact great job whoever hire food delici love fri unlik anyth get anywher els got countri roast chicken great season super moist tender still chargril roast skin favorit sauc good hard choos matter mani time go alway sampl posit thing say famou dave oh forgot mention corn muffin beyond word serious tri crave pretti sure open wish could order dozen haha,0
"Great addition to the CityScape lineup!  This is a big place with TONS of beers on tap, sweet cushy leather seats and friendly employees.  So far I've only been for happy hour, which is great because they offer deep discounts on local beers.  I'm definitely looking forward to sampling some of the food options.  
My one complaint - most of the songs we heard here (I've yet to see a live band here) were horribly outdated top 40 hits that I wish I had forgotten about.  Clearly that's a matter of taste though ;)
Looking forward to going back!",great addit cityscap lineup big place ton beer tap sweet cushi leather seat friendli employe far happi hour great offer deep discount local beer definit look forward sampl food option complaint song heard yet see live band horribl outdat top hit wish forgotten clearli matter tast though look forward go back,0
"I always forget and tell people that Pomeroy's is on Central. I think it must just be that cool - I'm trying to pull it closer to the other really good places to go. It is, in fact, on 7th St. and if you tie it on a little tight, the grocery behind is, in fact, open late. 

It looks like a bar that should have a few regular bar flies and music that screeches to a halt when someone new walks in. And by that, I mean it's the most endearingly divey of bars.

There's shuffleboard, just give your id to the bartender in return for the pucks. There's pool, but you pay quarters for that. The juke box is electronic and you should expect that you're gonna hear Def Leppard at least once during the night. The regulars will help you learn darts, the food is griddle-fare and the guys behind the bar are always good for a chat or to grab you a pint. 

Pomeroy's should definitely be on your rotation of places to be in Phoenix.",alway forget tell peopl pomeroy central think must cool tri pull closer realli good place go fact th st tie littl tight groceri behind fact open late look like bar regular bar fli music screech halt someon new walk mean endearingli divey bar shuffleboard give id bartend return puck pool pay quarter juke box electron expect gonna hear def leppard least night regular help learn dart food griddl fare guy behind bar alway good chat grab pint pomeroy definit rotat place phoenix,0
"I'm a great believer and loyal customer of Carried Away.

They do carry LV, although they fly off the shelves fast! I've brought in 2 and both were gone by days end! If you'd like to be put on a ""call list"" when they come in, they'll do that for you! Although there are several others that are on it too.

I'm going in today to drop off two more in fact!
Happy holiday!",great believ loyal custom carri away carri lv although fli shelv fast brought gone day end like put call list come although sever other go today drop two fact happi holiday,0
"Mellow Mushroom - WOW

As you may tell from recent reviews, I have been on a Pizza crusade. Well, I took a friend to Mellow Mushroom today and the pizza rocked.

We shared the Thai Die Pizza which had curry chicken and tasted awesome. The crust was think and delicious the pizza burst with taste when I bit into it. I am a traditional pizza guy but this diversion worked.

Great service and a nice patio to eat topped it off.

I'll be heading back...soon",mellow mushroom wow may tell recent review pizza crusad well took friend mellow mushroom today pizza rock share thai die pizza curri chicken tast awesom crust think delici pizza burst tast bit tradit pizza guy divers work great servic nice patio eat top head back soon,0
"Loved my visit here. I was talked into the meatloaf for dinner. I have never ordered meatloaf at a restaurant, but tonight I did. The combination of meatloaf, and a bit of mashed potatoes and gravy on my fork......HEAVEN. I was sure to chew in every corner of my mouth....my taste buds were going crazy.......",love visit talk meatloaf dinner never order meatloaf restaur tonight combin meatloaf bit mash potato gravi fork heaven sure chew everi corner mouth tast bud go crazi,0
"Recently encounter some problems. After getting into shopee for 5 minutes, it prompt me that there is a connectivity problem and I cannot proceed with my shopping.",recent encount problem get minut prompt connect problem cannot proceed shop,1
"my husband and i LOVE this place! 

no, we cannot afford to get our weekly groceries here (although it would be terrific if we could), but we view oakville as an excellent alternative to dining out on the weekend. 

the food is delicious (think deli, simplicity, quality ingredients), and the atmosphere is comfortable and relaxing! we found that if it's too crowded inside, then it's easy enough go outside to the awesome patio area to enjoy our beer and goodies :)",husband love place cannot afford get weekli groceri although would terrif could view oakvil excel altern dine weekend food delici think deli simplic qualiti ingredi atmospher comfort relax found crowd insid easi enough go outsid awesom patio area enjoy beer goodi,0
Great platform for purchases and the returns is so much more that the other platforms that i had in my phone. The games are great and addictive as well. Great prizes and vouchers too. So far app is stable as well.,great platform purchas return much platform phone game great addict well great prize voucher far stabl well,0
"I had just been to the Chandler Deseret location and didn't realize the there was a second store nearby.  This too is wonderful bookstore (though smaller then Chandler) where you can purchase both Christian and LDS items.

The only drawback to this location is there is no Lion House Pantry.

Being a non-Mormon, I've found the staff both friendly and helpful and have never been proselytized.  

Since I do have several Mormon friends,  I've found the Deseret Bookstore a good place to go to purchase hard to find Holiday gifts.

Enjoy!",chandler deseret locat realiz second store nearbi wonder bookstor though smaller chandler purchas christian ld drawback locat lion hous pantri non mormon found staff friendli help never proselyt sinc sever mormon friend found deseret bookstor good place go purchas hard find holiday gift enjoy,0
"Love the daily discount vouchers, convenience of using Shoppeepay across many retailers besides Shopee app purchases and service is quite alright too.",love daili discount voucher conveni use shoppeepay across mani retail besid purchas servic quit alright,0
So far so good. All I ordered delivered very fast . Hopefully it continue the good service. Thanks.,far good order deliv fast hope continu good servic thank,0
This is my first time trying this place and I had a wonderful experience. The place was packed and yet they got me in right away. A young man gave me a pedicure and did a spectacular job. They even put on a timer for 15 mins to ensure I got a full massage during it. They offered the other services but did not force any on me. I will definitely use them again and recommend the place to others.,first tri place wonder experi place pack yet got right away young man gave pedicur spectacular job even put timer min ensur got full massag offer servic forc definit recommend place other,0
The tap is a great product! Access to Alexa in a grab and go format!,tap great product access alexa grab go format,0
Prices are always reasonable and sometimes lower than competitors. Super easy to use app with accumulated rewards and all.,price alway reason sometim lower competitor super easi accumul reward,0
Soyo technology sucks.,soyo technolog suck,1
"I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!",would definit recommend jabra bt v look comfort clariti great price,0
"This is not customer friendly when it comes to cancelling orders, especially if the seller is from overseas like from china, most are seemed to not understand their customers reason of cancelling and would still continue shipping things when you've told them right away to not ship it. Is shopee translating it correctly to them?!.",custom friendli come cancel order especi oversea like china seem understand custom reason cancel would still continu ship thing told right away ship translat correctli,1
"Avoid this einstein's at all cost. I have been laying in bed puking for over 12 hours because I ate at this garbage dump. The reason I know it was them? My girl is laying next to me puking as well. And the only place we both ate together less than 24 hours ago was there.

The incompetent staff that happens to grace this poorly operating business cannot tell the difference between a large drink and a medium and take over 10 minutes to make two identical sandwiches.

After we got home and ate them, fast forward 6 hours and we are both puking our brains out.

The most common reason for this to happen is when an employee does not wash their hands after getting feces on them. Then they touch my food and I get sick. Based on the staff that day, it does not surprise me one bit.

I would recommend starving over going here. Never again. Now I will go speak to Ralph on the big white telephone some more.",avoid einstein cost lay bed puke hour ate garbag dump reason know girl lay next puke well place ate togeth less hour ago incompet staff happen grace poorli oper busi cannot tell differ larg drink medium take minut make two ident sandwich got home ate fast forward hour puke brain common reason happen employe wash hand get fece touch food get sick base staff day surpris bit would recommend starv go never go speak ralph big white telephon,1
Shopee delivery service is getting worst ever since shopee started taking the courier service for themselve. My order was scheduled for delivery by 11/11/21... deliveryman played a dirty trick by updating in the tracking record 11/11/21 09:16 [delivery attempted unsuccessful customer rescheduled] Of which it was a total lie. There wasn't any attempt and no call whstsoever the whole day. Deliveryman updated the FALSE status just to cover up their failure to meet the deadline.🤬,deliveri servic get worst ever sinc start take courier servic themselv order schedul deliveri deliveryman play dirti trick updat track record deliveri attempt unsuccess custom reschedul total lie attempt call whstsoever whole day deliveryman updat fals statu cover failur meet deadlin,1
I got it because it was so small and adorable.,got small ador,0
I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.,tri talk real loud shout telephon get old still told great,1
"You don't come for the run-of-the-mill pizza. Nor do you show up for the cheap pitchers of beer. No, you make it here for the show. A massive organ fills the entire building, incorporating dozens of intruments, and the virtuosos playing it take center stage. Sit back and watch then perform your favorite songs, from Star Wars to The Little Mermaid. Don't let the average food dissuade you from a one-of-a-kind experience.",come run mill pizza show cheap pitcher beer make show massiv organ fill entir build incorpor dozen intrument virtuoso play take center stage sit back watch perform favorit song star war littl mermaid let averag food dissuad kind experi,0
"If you have to be some place on time, don't use them.  I called at 2pm for a 4:15 taxi to arrive.  At 4:25 they were calling me saying he was right around the corner, and gave me his location.  Estrella called a couple more times to ""verify my address"".  At 4:35 I called them and cancelled the cab and got a ride from my neighbor.  As we pulled out of my neighborhood, we PASSED the cab. He had taken a street that he thought was going to be a through street and got himself lost. This is a TAXI service, they should know how to get around the valley!!  Don't these people use GPS, or MAPS at least?!?!?!?  End of story, I was still late for my class that I paid 250.00 bucks for. I was not allowed in, and the money is non refundable.  So thanks Estrella wasting my time and costing me money.  WORST TAXI SERVICE EVER.",place call pm taxi arriv call say right around corner gave locat estrella call coupl time verifi address call cancel cab got ride neighbor pull neighborhood pass cab taken street thought go street got lost taxi servic know get around valley peopl gp map least end stori still late class paid buck allow money non refund thank estrella wast cost money worst taxi servic ever,1
"It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned.",quit work use month purchas anoth best headset ever own,0
"After reading many decent reviews and seeing how close the restaurant was to home, I decided to give it a try.

The young lady at the counter was impatient and had no interpersonal skills. The food was just not good; this place is 'Chinese take-out' at best.",read mani decent review see close restaur home decid give tri young ladi counter impati interperson skill food good place chines take best,1
"Having a miserable experience flying from Boston to Reno. My connection was in Phoenix, and the flight from Boston was running a bit late. I asked both of the flight attendants if it would be possible to deplane before the other passengers as I had a very tight connection to make. One actually laughed at me and told me I would be fine. 12 hours, a horrible nights sleep (as they did not offer me hotel accommodations) and two delicious airport meals later I am sitting in the terminal waiting for my flight from Phoenix to Reno to board. Sorry buddy, not really fine. I missed my flight by 5 minutes. I would have been fine if US Airways offered their customers with tight connections the opportunity to deplane first, as every other airline I have flown on does. Will avoid them at ALL costs!",miser experi fli boston reno connect phoenix flight boston run bit late ask flight attend would possibl deplan passeng tight connect make actual laugh told would fine hour horribl night sleep offer hotel accommod two delici airport meal later sit termin wait flight phoenix reno board sorri buddi realli fine miss flight minut would fine us airway offer custom tight connect opportun deplan first everi airlin flown avoid cost,1
Font size and contrasting is not so user friendly especially for the elderly.,font size contrast user friendli especi elderli,1
"...NOW WE'RE TALKIN'! Killer Mexican Food! The chips 'n salsa kicks ass! You get a red, blue & regular tortilla chips with reg, spicy salsa & bean dip! Hellava start! A kick-butt margarita! Had Chicken Fajitas!...THE BEST! Cannot wait to return! Great ambiance.",talkin killer mexican food chip n salsa kick ass get red blue regular tortilla chip reg spici salsa bean dip hellava start kick butt margarita chicken fajita best cannot wait return great ambianc,0
Consider good app at beginning stage. Updated 16/Sep: More variety than before. Shipping is cheap compared with others similar app. Many ways to get coins for offsetting the purchases. Will be first choice at this stage.,consid good begin stage updat sep varieti ship cheap compar other similar mani way get coin offset purchas first choic stage,0
Overall it's rlly good but deduct one star as imo it is quite troublesome to top up the shopeepay,overal rlli good deduct star imo quit troublesom top shopeepay,1
Worked around the corner for about a year anticipating this place opening. Finally got to stop in for coffee this morning (a year later) and had a piping hot Americano and a mango-poppyseed muffin. Big fan so far! Looking forward to having coffee on the patio when it's a bit cooler.,work around corner year anticip place open final got stop coffe morn year later pipe hot americano mango poppyse muffin big fan far look forward coffe patio bit cooler,0
These donuts don't taste good anymore. They have an aftertaste like they are using a different type of oil,donut tast good anymor aftertast like use differ type oil,0
Excellent sound quality.,excel sound qualiti,0
This is cool because most cases are just open there allowing the screen to get all scratched up.,cool case open allow screen get scratch,0
I have some problem with the app 1 - when open the app few min my handphone become hot 2 - i didnt get notifcation of the message that i pm the seller i need to open the app to have some message through it Please fix this problem asap pls,problem open min handphon becom hot didnt get notifc messag pm need open messag pleas fix problem asap pl,1
"It felt too light and ""tinny."".",felt light tinni,1
"Well, I guess the bar is much lower in Flagstaff, as we went to their restaurant in Glendale for breakfast.  It was less than mediocre.  Starting with the coffee, which tasted awful..it was very bitter and watching the waitress pour old decaffinated coffee into a regular coffee pot! Unacceptable.  I had bacon and eggs...fair. Asked for the hashbrowns to be well done..didn't make a difference, I guess, as they came out raw.  Also, asked that my toast be dry...came out saturated with butter.  My husband had the chicken fried steak with gravy...you could have plastered a house with the gravy!  As you can tell, we will not be returning.  The reason we went, was because of their article in the paper this week.  Just shows, that you can't believe believe everything you read.  My husband, ""jokingly, suggested, that we cancel the paper!",well guess bar much lower flagstaff went restaur glendal breakfast less mediocr start coffe tast aw bitter watch waitress pour old decaffin coffe regular coffe pot unaccept bacon egg fair ask hashbrown well done make differ guess came raw also ask toast dri came satur butter husband chicken fri steak gravi could plaster hous gravi tell return reason went articl paper week show believ believ everyth husband jokingli suggest cancel paper,1
"Unable to click on refund. Had a missing item in the purchase but tried to submit refund, there is no response The response quite good. Have the issue resolve",unabl click refund miss purchas tri submit refund respons respons quit good issu resolv,0
"Takes quite a bit of time to look for the right product to buy. Sometimes, not sure how to reach seller to ask questions. Looking at picture alone may be deceiving. I actually received a phone case meant for the back instead of a flip.design. not sure if the picture was deceiving or the seller sent the wrong item. 1 more feedback I forgot to include: As a first time shopper, I expected to receive a Welcome discount but upon checking out, I was unable to find the method to claim the discount.",take quit bit look right product buy sometim sure reach ask question look pictur alon may deceiv actual receiv phone case meant back instead flip design sure pictur deceiv sent wrong feedback forgot includ first shopper expect receiv welcom discount upon check unabl find method claim discount,1
"So-so Mexican food.  I have heard people raving about this place and I don't really get it.  Don't get me wrong, it's better than Manuel's or Filiberto's... but that's about all I can say.

Okay, their Pollo Fundido is good (but not great like you will get at Ajo Al's). But let's talk about the purple and teal accent colors that scream ""I was remodeled in the 80's""! Lame.

Good chips and salsa but small-ass bowls! 

Oh, and don't expect to park in their little lot during dinner rush.  Also, the surrounding neighborhood is definatly the ghetto-side of the Moon Valley area.",mexican food heard peopl rave place realli get get wrong better manuel filiberto say okay pollo fundido good great like get ajo al let talk purpl teal accent color scream remodel lame good chip salsa small ass bowl oh expect park littl lot dinner rush also surround neighborhood definatli ghetto side moon valley area,1
"I've now been here twice, one to eat in and one to carry out.

All in all, great prices, decent service, and semi-good food.

I've had the pho when I sat down and ate at the restaurant.  Not the best I've had, but at the price, really good and fulfilling.

When I've carried out: had the bun thit nuon.  Great stuff. Mi xao and hu tieu xao were just ok.

I like that the whole place is very big (from a recent expansion, I'm reading). 

The bathrooms are pretty good and the service is not too typical Viet: actually friendly-ish and not too rude/brusque.

I would come back again for sure. The prices are what you would find in California, so that is just too good to pass up.",twice eat carri great price decent servic semi good food pho sat ate restaur best price realli good fulfil carri bun thit nuon great stuff mi xao hu tieu xao ok like whole place big recent expans read bathroom pretti good servic typic viet actual friendli ish rude brusqu would come back sure price would find california good pass,0
"Strongly suggest, DO NOT BUY ANYTHING FROM OVERSEAS VIA SHOPEE !! They will force you to receive the item! I bought a gaming table from Shopee on 29 Dec, guarantee date is 15 Jan, due to the CNY issue they changed the guarantee date to 25 Jan, I tried to cancel the order, they rejected. Until, 25 Jan, I still haven't receive the item, I ask for help again, told they reply to me within 3 days. 30 Jan, 8.25pm finally I received this stupid item, over the guarantee date! Took 1 month to receive",strongli suggest buy anyth oversea via forc receiv bought game tabl dec guarante date jan due cni issu chang guarante date jan tri cancel order reject jan still receiv ask help told repli within day jan pm final receiv stupid guarante date took month receiv,1
Heather is awesome. She did my initial set of lashes and I've already gone back for a fill. Her prices are great and she does beautiful work! The compliments are rolling in. Absolutely recommend!,heather awesom initi set lash alreadi gone back fill price great beauti work compliment roll absolut recommend,0
Avoid this one if you can.,avoid,1
Encountered 2 bad experiences. Feedback to Shopee and both got a default system response that is written like a customer service person is managing it but nothing actually gets done. You can write to follow up again and same electronic response is generated from the system. Same messaging word for word. Given up on shopee and would have given a zero star if I could. There are other much better other sites available.,encount experi feedback got default system respons written like custom servic person manag noth actual get done write follow electron respons gener system messag word word given would given zero star could much better site avail,0
"Wednesday 7pm.  This place is your average over priced, lack of taste chain food restaurant and this place was no different. 

I have to say, I was super disappointed as I have always heard rave reviews, now I'm starting to question who I associate with and their taste in food.

Service=slow.
Food=just tastes like salt
Noise=loud and they do a dance...like a lot.

Go somewhere else and skip Joe's Crabs.",wednesday pm place averag price lack tast chain food restaur place differ say super disappoint alway heard rave review start question associ tast food servic slow food tast like salt nois loud danc like lot go somewher els skip joe crab,1
"Hmm, a bit disappointed. I had been here several times when I used to live in Scottsdale, but that was 3+ years ago, and I must say that I think things have gone downhill here. The bruschetta toppings on the combination platter were odd for the most part, with the exception of the traditional fresh tomatoes and basil, which was delicious and worth mentioning. The provolone on the sausage bruschetta was excessive and the overall combination of flavors just didn't work. The pesto bruschetta was SUPER garlic-heavy, even for someone like me who loves garlic. I couldn't finish either of the latter types of bruschetta. 

Onto the main course - pizza. Had the Toscana, which has mozzarella, tomato sauce, mushrooms, and sausage. The crust was burnt and flavorless and the toppings just seemed kind of bland and strangely old-tasting. I mean, not fresh. Weird, I know. 

I sort of liked the red sangria, but it was a somewhat odd twist on sangria, as it was pretty sweet and not very strong. 

I am sorry, Grazie. I am spoiled by having had the best pizza on earth in Chicago and am too excited to try the other acclaimed pizza joints in Phoenix/Scottsdale to return to your restaurant.",hmm bit disappoint sever time use live scottsdal year ago must say think thing gone downhil bruschetta top combin platter odd part except tradit fresh tomato basil delici worth mention provolon sausag bruschetta excess overal combin flavor work pesto bruschetta super garlic heavi even someon like love garlic finish either latter type bruschetta onto main cours pizza toscana mozzarella tomato sauc mushroom sausag crust burnt flavorless top seem kind bland strang old tast mean fresh weird know sort like red sangria somewhat odd twist sangria pretti sweet strong sorri grazi spoil best pizza earth chicago excit tri acclaim pizza joint phoenix scottsdal return restaur,0
"All of them quit working. There's absolutely no way to revive them once that battery loses power If NOT charged immediately, if even just a few weeks go by, NO HOPE of ever using your Kindle again. A major flaw",quit work absolut way reviv batteri lose power charg immedi even week go hope ever use kindl major flaw,1
"It's pretty awesome here!  I was traveling in Phoenix for work and had to get my raw food fix (I eat a raw diet at home and as much as I can while traveling) and this was excellent!  The portions were large and the price was good.  The same type of food in places like Chicago are much more expensive.  I got the raw taco's for lunch and the blueberry fields salad to-go.  They were both great!  I also had an appetizer but that ended up being too much food so I packed it, too.  The location is actually fairly close to the airport (10 min drive) and so it will be my preferred place to go when I'm in Phoenix.",pretti awesom travel phoenix work get raw food fix eat raw diet home much travel excel portion larg price good type food place like chicago much expens got raw taco lunch blueberri field salad go great also appet end much food pack locat actual fairli close airport min drive prefer place go phoenix,0
"Managed to snatch the $99 voucher no min spend but while I was trying to read the T&C, the voucher was gone and was said to be fully redeemed. However, didn't shoppe said there will only be 100 vouchers available, so why couldn't those who snatched the voucher be able to use it? If there was only limited users for the ""100"" vouchers then why can't you guys just limit the amount of vouchers so that those who snatched it can actually get to use it. Feel so angry that I couldn't use the $99 voucher",manag snatch voucher min spend tri c voucher gone said fulli redeem howev shopp said voucher avail snatch voucher abl limit user voucher guy limit amount voucher snatch actual get feel angri voucher,1
The update procedure is difficult and cumbersome.,updat procedur difficult cumbersom,1
"This is my new addiction! Took some friends and family here to celebrate my mom's birthday, it was her first time and she had a blast. 

Our first chef Poncho isn't at this location any more which we were disappointed about but ended up having another great chef named Sam. He was funny and the food was great! I tried grilled shrimp for the first time and I am a fan. 

Our waitress was awesome! On top of everything, funny and she told us Sam was the head chef and that it was an honor to have him cook our food and that she was so glad we got him, seeing that it was the first time for almost everyone in our group to try a place like this.

We have also had dinner on the patio when it was cooler out and enjoyed it too. I will be eating here often.

Thanks Hayashi for always making my dining experience fun and delicious",new addict took friend famili celebr mom birthday first blast first chef poncho locat disappoint end anoth great chef name sam funni food great tri grill shrimp first fan waitress awesom top everyth funni told us sam head chef honor cook food glad got see first almost everyon group tri place like also dinner patio cooler enjoy eat often thank hayashi alway make dine experi fun delici,0
I have literally never seen this place open and I live two blocks away.,liter never seen place open live two block away,1
I don't like this Nokia either.,like nokia either,1
"Stopped back in here today for lunch with Arlin B., Robyn N. & Mike C.  They're still delivering the same upscale Asian Buffet experience here as before, including atmosphere, food & table service that are just tops so it's ""Woohoo"" again for this excellent restaurant!!     :-))

(See previous review for more details.  Weekday Lunch Buffet is still $11.99/$10.79 Sr.)",stop back today lunch arlin b robyn n mike c still deliv upscal asian buffet experi includ atmospher food tabl servic top woohoo excel restaur see previou review detail weekday lunch buffet still sr,0
Easy to navigate and track deliveries. Sometimes products are counterfeits. Hate the new payment system of using Shopee Pay. Coupons can only be used if using Shopee pay.,easi navig track deliveri sometim product counterfeit hate new payment system use pay coupon use use pay,1
"Super easy to search, find and buy. Good range. When seller not responding, the system automatically cancels order and refunds - so I don't have to go through the pain and suffering of having to get my money back myself.",super easi search find buy good rang respond system automat cancel order refund go pain suffer get money back,0
"If it wasn't for the bad food I would go here more than once or twice a year.  The meat was dry and tough in my first entree and not edible in my second. Now when my wife drags me here to watch a movie, I order a salad only. Because they do catering, I have a suspicion that they serve up left over food from catered events to their restaurant customers.  

The service is OK. They have a couple of generic draft beers. Everything is overpriced.  Caveat Emptor if you order an entree.",food would go twice year meat dri tough first entre edibl second wife drag watch movi order salad cater suspicion serv left food cater event restaur custom servic ok coupl gener draft beer everyth overpr caveat emptor order entre,1
Things are cheap but refund team doesn't want do their job. Ask customer to wait for longer time before item delivers for normal mail. Thereafter said period over cannot do anything. All their talks! And after review still keep promoting to review.,thing cheap refund team want job ask custom wait longer deliv normal mail thereaft said period cannot anyth talk review still keep promot review,0
Have promble with shopee pay when i top up nvr update. And it happen 2nd time seen the last maintenance. Ask to wsit for 3 working days. Dont force me to switch to other app. Nw i hv no trust on top up on the app.,prombl pay top nvr updat happen nd seen last mainten ask wsit work day dont forc switch nw hv trust top,1
Very good for internet shopping. Can be trusted. Safe for user. There is assurance of product.,good internet shop trust safe user assur product,0
"Zipps is a rocking place with TV screens in all viewable angles. The atmosphere is great and this place really packs it in on game nights like Monday Night Football. Smoking is outside because this place is around the Tempe border. The service is great and the food is even better. Try the chicken tacos!
Good times had by all!
Check it out some time!",zipp rock place tv screen viewabl angl atmospher great place realli pack game night like monday night footbal smoke outsid place around temp border servic great food even better tri chicken taco good time check,0
